Ngày,Tổng số ca mắc,Tổng số ca tử vong,Tổng số ca phục hồi,Số ca mắc mới hàng ngày
5/4/2021,2995,35,2560,15
5/5/2021,3030,35,2560,26
5/6/2021,3090,35,2560,68
5/7/2021,3137,35,2560,47
5/8/2021,3245,35,2602,93
5/9/2021,3412,35,2602,102
5/10/2021,3489,35,2618,129
5/11/2021,3571,35,2618,76
5/12/2021,3658,35,2636,86
5/13/2021,3740,35,2657,87
5/14/2021,3816,35,2657,106
5/15/2021,4112,36,2668,169
5/16/2021,4212,37,2668,190
5/17/2021,4359,37,2668,184
5/18/2021,4512,37,2687,153
5/19/2021,4720,37,2687,178
5/20/2021,4809,39,2687,119
5/21/2021,4941,41,2689,132
5/22/2021,5119,42,2721,145
5/23/2021,5275,43,2721,131
5/24/2021,5404,44,2794,187
5/25/2021,5931,44,2794,369
5/26/2021,6086,45,2853,313
5/27/2021,6356,46,2853,230
5/28/2021,6396,47,2896,254
5/29/2021,6908,47,2896,286
5/30/2021,7107,47,2950,251
5/31/2021,7432,47,3029,214
6/1/2021,7625,48,3043,251
6/2/2021,7870,49,3085,241
6/3/2021,8063,49,3085,250
6/4/2021,8364,51,3242,224
6/5/2021,8580,53,3310,254
6/6/2021,8791,53,3368,206
6/7/2021,9027,53,3509,236
6/8/2021,9222,55,3547,175
6/9/2021,9635,55,3636,407
6/10/2021,9835,55,3708,219
6/11/2021,10048,57,3804,196
6/12/2021,10337,58,3827,261
6/13/2021,10630,59,3998,297
6/14/2021,10881,59,4236,272
6/15/2021,11304,61,4539,402
6/16/2021,11794,61,4590,423
6/17/2021,12150,61,4653,515
6/18/2021,12508,62,4733,264
6/19/2021,12978,64,5054,486
6/20/2021,13258,66,5229,311
6/21/2021,13530,69,5453,272
6/22/2021,13782,69,5546,244
6/23/2021,13989,70,5684,220
6/24/2021,14323,72,5759,285
6/25/2021,14537,74,5949,868
6/26/2021,15325,74,6137,175
6/27/2021,15740,76,6319,368
6/28/2021,16136,78,6519,398
6/29/2021,16507,80,6764,372
6/30/2021,17052,81,6840,450
7/1/2021,17727,81,7247,713
7/2/2021,18121,84,7395,545
7/3/2021,19310,84,7643,922
7/4/2021,20261,86,7819,890
7/5/2021,21312,90,8022,1102
7/6/2021,22341,97,8077,1029
7/7/2021,23385,102,8557,1007
7/8/2021,24810,104,8950,1314
7/9/2021,26608,110,8984,1625
7/10/2021,28470,112,9204,1853
7/11/2021,30478,119,9275,1953
7/12/2021,32665,125,9331,2383
